colname,model0,model1,model2,model3,model4,model5,model6,model7,model8
albumin_min,2.7014074302281905,-0.10596783927420228,3.5053848682814817,15.444892522522721,3.4427000077363923,-0.0013122218041847766,8.700848325981708,3.857230354277684,-0.43346203749827916
bicarbonate_min,-1.1180620290258594,11.56264685651457,2.2714896971230445,11.175134392793801,30.082963002690924,54.32577550823634,1.8317084891062034,12.456368109668375,66.77537198220267
bun_min,0.6638462972498296,-0.8902276746373192,9.015317859651466,15.436572149729692,11.413114262376364,8.610299875831247,9.247390834283127,5.908111003114543,20.25854370922679
calcium_min,-1.374957103984875,0.7526660155043743,3.9792860671722226,1.6330770962659313,-1.1963823397584903,7.755393585068749,-0.7637796388984852,-0.7495406700456098,-1.0222542693578094
creatinine_min,-0.08042464639103608,1.301680729513106,0.8209789942622958,0.5779871131432537,0.3689905696950042,0.4826589201741105,-0.24556586882184428,1.0074083673337322,0.8652382235033165
diasbp_min,4.856351690860838,-1.151537017652773,-1.211046502582572,-1.627891059536287,-1.807824171510582,-1.7109084559979073,3.9930083256727116,-1.021769656784118,-1.5902205518801589
glucose_min,-0.5548852556352535,0.18136994425350306,0.18143262018313644,-0.21252216960518977,1.3199593521915247,1.0586343772774711,-0.23334052273492656,1.3995761974326157,0.9489541419480951
heartrate_min,1.9750971084690514,3.3980670211820803,4.928696073354752,3.9479179747236754,3.368603842471666,3.040164534476803,6.065292005587327,3.9867886315774843,4.45182190147014
inr_min,7.5481580846707335,9.949523903376575,7.405589835164411,9.542080787963448,8.71794297128141,8.127161645700944,8.958736764030412,5.688657104017755,8.832690313891414
lactate_min,-0.32983499783102,30.315550324515065,0.8798867394343253,40.28258785824369,72.19621235101029,53.18859067284988,20.289142796213216,21.66916757705,43.499845431553005
pco2_min,1.7634389080198725,-1.1849945211780775,-0.3202971973523394,0.249083169506493,-0.020805648993686532,-1.729137375997637,-0.5316880597420943,-1.0916611116744155,-1.7459214437981536
ph_min,-1.1207700095886173,-0.6199707695444205,-1.577726441831798,3.436148550148996,6.107663663221089,2.718584776800286,-0.7207355501406276,0.13150087056515636,2.5622092491983803
platelet_min,17.213884427412374,4.260780646517488,8.867775089678412,26.97803279996651,16.381357746228836,-0.7509124622360317,8.238957382441113,3.562629306275407,15.477871384815504
potassium_min,2.311374476591504,2.8050003003318684,1.8591399794364403,2.034794223456264,1.9350814523269735,1.5231965654488775,6.601732615647652,2.5007519398544105,1.6165334216420044
resprate_min,-1.2889214918215286,-0.3927580748833446,-1.2244056545455508,-1.732847998003439,-1.7558998067373195,-1.7741272197269105,-0.6696509782097708,-1.4632976921570457,-1.7921353787356578
sodium_min,-1.305981300834539,-1.663609535680488,-1.4147007756638568,-0.48603254573532517,-1.470279298643846,-1.813814224588215,-1.4291808592660293,-1.27604148314408,-1.3817234935727778
spo2_min,41.35107681194474,-0.6424973454171892,12.151064026863704,1.6425795435988713,22.77384910388861,31.980723302859595,-1.6079883710552738,3.0248637795784097,84.0986313660223
sysbp_min,-1.0517169129325568,-1.7921834980910925,-0.2656815203084246,-1.4768027034578766,3.985378041328425,3.8823413755980134,15.027424752721721,9.876552981242815,7.940645419321752
tempc_min,8.49177772253463,10.639864895305815,7.205925975628562,10.178939191208832,9.158391134623578,9.465073081576021,11.586049253880747,4.535819087117461,8.327050603683697
albumin_max,-1.5286057216358326,-1.0583721754177589,-1.332187810567218,-1.679364944713348,-1.8638206449869887,-1.738288972146445,-1.6481010206501236,-1.63623903318835,-1.6729976701344378
bicarbonate_max,-1.4632225027604224,-0.603009428078543,-0.2743943204094048,-1.8173446221219227,-1.807658496988187,-1.7459483540173986,-0.7717294957525564,-1.1317275920813294,-0.6950445450293987
bun_max,-1.507613508455433,-1.4556841484467424,-1.6123940336734441,-1.372204773549795,-1.2273513218552718,-1.2656154869222984,-1.388266948600678,-1.495600115646332,-1.5239275065413216
calcium_max,-1.7627270569652032,-1.2673371319843207,-1.4735917925219122,-1.817891068359989,-1.771002983170703,-1.7636769673032033,-1.7791715185626,-1.7047848383098847,-1.802302838931332
