colname,model0,model1,model2,model3,model4,model5,model6,model7,model8
albumin_min,0.8957076072692871,1.09456467628479,1.1018402576446533,0.6395118832588196,0.7966589331626892,0.13061398267745972,0.5162872076034546,0.8111338019371033,0.31050288677215576
bicarbonate_min,0.8238013982772827,0.9845890402793884,1.078355073928833,0.5288975834846497,0.8410152196884155,0.20614326000213623,0.37938472628593445,1.0146464109420776,0.5926124453544617
bun_min,0.7765212655067444,0.47262686491012573,0.8040220141410828,0.6293048858642578,0.4899001717567444,0.03736864775419235,0.18840286135673523,0.6003290414810181,0.5077675580978394
calcium_min,1.430521011352539,2.1992480754852295,2.1402833461761475,1.5346802473068237,1.5479323863983154,1.1387147903442383,1.1020489931106567,1.5898014307022095,1.1962392330169678
creatinine_min,0.5384687185287476,1.7755885124206543,1.3114873170852661,0.499323308467865,0.5537192225456238,0.29757994413375854,-0.04788661748170853,0.5257537961006165,0.1708778291940689
diasbp_min,0.9511816501617432,0.916128396987915,1.1192188262939453,0.546295702457428,0.7062889933586121,0.14447379112243652,0.46526023745536804,0.9063507318496704,0.37415874004364014
glucose_min,0.8966493606567383,1.8184781074523926,1.7070785760879517,0.7508883476257324,2.027353286743164,1.5173088312149048,0.47665244340896606,1.4211548566818237,1.1602919101715088
heartrate_min,0.8308806419372559,1.3134688138961792,1.343892216682434,0.8106763362884521,0.8448989391326904,0.2822268307209015,0.6359498500823975,0.9870398044586182,0.5896812677383423
inr_min,1.0612791776657104,1.8299204111099243,1.469972014427185,0.5990821719169617,1.1144084930419922,0.5041403770446777,0.8407469987869263,1.1958197355270386,0.6356300115585327
lactate_min,0.6225724220275879,0.9321784973144531,1.1546258926391602,0.7786576747894287,0.8259271383285522,0.12497406452894211,0.5153424143791199,0.8387629985809326,0.45603036880493164
pco2_min,0.744912326335907,0.9514124393463135,0.9620283842086792,0.5573340654373169,0.7046984434127808,0.0580454021692276,0.3372361660003662,0.588274359703064,0.2783426344394684
ph_min,0.4821160137653351,0.4894960820674896,0.47829335927963257,0.4545527696609497,0.7183942794799805,0.16127054393291473,-0.16668164730072021,0.42876461148262024,0.36530470848083496
platelet_min,0.8389051556587219,0.864335298538208,1.0162800550460815,0.43582528829574585,0.6321800947189331,-0.11083295941352844,0.43309956789016724,0.48922592401504517,0.27053672075271606
potassium_min,0.5452739000320435,0.7292219996452332,0.7938555479049683,0.09664565324783325,0.4354044198989868,-0.17139455676078796,0.2846682071685791,0.39742130041122437,-0.21647772192955017
resprate_min,0.7499568462371826,0.9647451639175415,0.9778949022293091,0.5088626146316528,0.7256059050559998,0.23059925436973572,0.38969892263412476,0.6829586625099182,0.3276432752609253
sodium_min,0.6093494296073914,0.7117117047309875,0.8312931060791016,0.4581359028816223,0.6338160037994385,-0.010376967489719391,0.2555965781211853,0.6007565259933472,0.16681510210037231
spo2_min,0.7404515743255615,0.7885590195655823,0.8709335923194885,0.4849562346935272,0.7260282039642334,0.11317408829927444,0.29110628366470337,0.6663328409194946,0.34959694743156433
sysbp_min,0.6506246328353882,0.5192259550094604,0.9104908108711243,-0.2042781412601471,0.864538311958313,0.4402361512184143,0.5930176973342896,1.1557562351226807,0.6619566082954407
tempc_min,0.7002346515655518,1.1317317485809326,0.7262916564941406,0.471821665763855,0.674658477306366,0.1569940447807312,0.3156224489212036,-0.05922293663024902,0.13972894847393036
albumin_max,0.6493769884109497,0.8660153150558472,0.8837865591049194,0.4399079978466034,0.6405907869338989,0.06960763782262802,0.0751909464597702,0.5917542576789856,0.28359103202819824
bicarbonate_max,0.7809624075889587,0.7613198161125183,0.915922999382019,0.45606592297554016,0.6075231432914734,0.07289084792137146,0.5130276679992676,0.7627871632575989,0.4591839909553528
bun_max,0.5296967625617981,0.635739266872406,0.550102949142456,0.16976603865623474,0.47144296765327454,-0.06941140443086624,-0.01809878647327423,0.23131147027015686,-0.040223054587841034
calcium_max,0.7146732211112976,0.8589755296707153,0.8721355199813843,0.32145339250564575,0.5769767761230469,-0.004170075058937073,-0.07884364575147629,0.10645518451929092,0.08057551831007004
creatinine_max,0.7647350430488586,0.8761526346206665,1.0031328201293945,0.6089550852775574,0.8053010106086731,0.17841601371765137,0.5034651160240173,0.6387333869934082,0.40642106533050537
diasbp_max,0.6265997886657715,0.6301670074462891,0.6418567895889282,-0.018083713948726654,0.7649900913238525,0.02247253805398941,0.41257303953170776,0.5364419221878052,-0.1148291602730751
glucose_max,0.7095504403114319,0.7023663520812988,0.9800053238868713,0.5130289793014526,0.6204225420951843,0.031218409538269043,0.2049858123064041,0.5180571675300598,0.24170398712158203
heartrate_max,0.7099694609642029,0.8457469940185547,0.8124549388885498,0.6375982165336609,0.7990585565567017,0.09853441268205643,0.4081607460975647,0.6016111373901367,0.5194583535194397
inr_max,0.6448444128036499,1.467962622642517,1.2508991956710815,0.562593936920166,1.1128754615783691,0.21265147626399994,0.9438690543174744,0.868791401386261,0.5011521577835083
lactate_max,1.2461092472076416,1.2810064554214478,1.3258545398712158,0.6496270298957825,1.0208089351654053,0.07805678993463516,0.7050288319587708,0.6609522104263306,0.34080255031585693
